id,urun,fiyat,kategori
1,Çay,20.0,Sıcak İçecekler
2,Fincan Çay,30.0,Sıcak İçecekler
3,Sahlep - Tarçınlı Fıstıklı,100.0,Sıcak İçecekler
4,Bitki Çayları - Ihlamur Nane-Limon Papatya Adaçayı Portakal Zencefil Elma Tarçın Zahter Kış Çayı Kuşburnu,80.0,Sıcak İçecekler
5,Türk Kahvesi,75.0,Sıcak İçecekler
6,Osmanlı Kahvesi,75.0,Sıcak İçecekler
7,Menengiç Kahvesi,85.0,Sıcak İçecekler
8,Süt,40.0,Sıcak İçecekler
9,Nescafe,80.0,Sıcak İçecekler
10,Nescafe Sütlü,85.0,Sıcak İçecekler
11,Esspresso,60.0,Sıcak İçecekler
12,Filtre Kahve,75.0,Sıcak İçecekler
13,Cappuccino,90.0,Sıcak İçecekler
14,Mocha - White Mocha Classic Caramel,100.0,Sıcak İçecekler
15,Latte,80.0,Sıcak İçecekler
16,Sıcak Çikolata,100.0,Sıcak İçecekler
17,Macchiato,100.0,Sıcak İçecekler
18,Limonata,75.0,Soğuk İçecekler
19,Cola,70.0,Soğuk İçecekler
20,Fanta,70.0,Soğuk İçecekler
21,Sprite,70.0,Soğuk İçecekler
22,Cappy Vişne,70.0,Soğuk İçecekler
23,Cappy Şeftali,70.0,Soğuk İçecekler
24,Cappy Kayısı,70.0,Soğuk İçecekler
25,Cappy Karışık,70.0,Soğuk İçecekler
26,Cappy Portakal,70.0,Soğuk İçecekler
27,Fuse Tea Karpuz,70.0,Soğuk İçecekler
28,Fuse Tea Şeftali,70.0,Soğuk İçecekler
29,Fuse Tea Limon,70.0,Soğuk İçecekler
30,Cola Zero,70.0,Soğuk İçecekler
31,Churchill,50.0,Soğuk İçecekler
32,Taze Sıkılmış Portakal Suyu,20.0,Soğuk İçecekler
33,Milkshake - Çilek Çikolata Karamel Vanilya Muz Kavun,85.0,Soğuk İçecekler
34,Ice Mocha - Classic Karamel White,90.0,Soğuk İçecekler
35,Frozen - Orman Meyveli Kivi Şeftali Mango Mandalina Limon Çilek,75.0,Soğuk İçecekler
36,Meyveli Soda,35.0,Soğuk İçecekler
37,Soda,30.0,Soğuk İçecekler
38,Cool Lime,70.0,Soğuk İçecekler
39,Caramel Frappuccino,90.0,Soğuk İçecekler
40,Kavrulmuş Antep Fıstığı,130.0,Çerezler
41,Atom Çerez,110.0,Çerezler
42,Taze Antep Fıstığı,25.0,Çerezler
43,Fıstık Rüyası,125.0,Tatlılar
44,Frambuazlı Cheesecake,125.0,Tatlılar
45,Limonlu Cheesecake,125.0,Tatlılar
46,Mozaik,125.0,Tatlılar
47,Profiterol,125.0,Tatlılar
48,Tiramisu,125.0,Tatlılar
49,Latte,125.0,Tatlılar
50,Devils,125.0,Tatlılar
51,Yer Fıstıklı Pasta,125.0,Tatlılar
52,Kara Ormanlı Pasta,125.0,Tatlılar
53,Kaymak,20.0,Dondurmalar
54,Fıstık,20.0,Dondurmalar
55,Çikolata,20.0,Dondurmalar
56,Karamel,20.0,Dondurmalar
57,Çilek,20.0,Dondurmalar
58,Limon Sorbe,20.0,Dondurmalar
59,Bal Badem,20.0,Dondurmalar
60,Karadut,20.0,Dondurmalar
61,Oreo,20.0,Dondurmalar
62,Blue Sky,20.0,Dondurmalar
63,Vişne,20.0,Dondurmalar
64,Kavun,20.0,Dondurmalar
65,Meyve Şöleni,20.0,Dondurmalar
66,Muz,20.0,Dondurmalar
