urun,fiyat,kategori
Çay,20.0,Sıcak İçecekler
Fincan Çay,30.0,Sıcak İçecekler
Sahlep - Tarçınlı Fıstıklı,100.0,Sıcak İçecekler
Bitki Çayları - Ihlamur Nane-Limon Papatya Adaçayı Portakal Zencefil Elma Tarçın Zahter Kış Çayı Kuşburnu,80.0,Sıcak İçecekler
Türk Kahvesi,75.0,Sıcak İçecekler
Osmanlı Kahvesi,75.0,Sıcak İçecekler
Menengiç Kahvesi,85.0,Sıcak İçecekler
Süt,40.0,Sıcak İçecekler
Nescafe,80.0,Sıcak İçecekler
Nescafe Sütlü,85.0,Sıcak İçecekler
Esspresso,60.0,Sıcak İçecekler
Filtre Kahve,75.0,Sıcak İçecekler
Cappuccino,90.0,Sıcak İçecekler
Mocha - White Mocha Classic Caramel,100.0,Sıcak İçecekler
Latte,80.0,Sıcak İçecekler
Sıcak Çikolata,100.0,Sıcak İçecekler
Macchiato,100.0,Sıcak İçecekler
Limonata,75.0,Soğuk İçecekler
Cola,70.0,Soğuk İçecekler
Fanta,70.0,Soğuk İçecekler
Sprite,70.0,Soğuk İçecekler
Cappy Vişne,70.0,Soğuk İçecekler
Cappy Şeftali,70.0,Soğuk İçecekler
Cappy Kayısı,70.0,Soğuk İçecekler
Cappy Karışık,70.0,Soğuk İçecekler
Cappy Portakal,70.0,Soğuk İçecekler
Fuse Tea Karpuz,70.0,Soğuk İçecekler
Fuse Tea Şeftali,70.0,Soğuk İçecekler
Fuse Tea Limon,70.0,Soğuk İçecekler
Cola Zero,70.0,Soğuk İçecekler
Churchill,50.0,Soğuk İçecekler
Taze Sıkılmış Portakal Suyu,20.0,Soğuk İçecekler
Milkshake - Çilek Çikolata Karamel Vanilya Muz Kavun,85.0,Soğuk İçecekler
Ice Mocha - Classic Karamel White,90.0,Soğuk İçecekler
Frozen - Orman Meyveli Kivi Şeftali Mango Mandalina Limon Çilek,75.0,Soğuk İçecekler
Meyveli Soda,35.0,Soğuk İçecekler
Soda,30.0,Soğuk İçecekler
Cool Lime,70.0,Soğuk İçecekler
Caramel Frappuccino,90.0,Soğuk İçecekler
Kavrulmuş Antep Fıstığı,130.0,Çerezler
Atom Çerez,110.0,Çerezler
Taze Antep Fıstığı,25.0,Çerezler
Fıstık Rüyası,125.0,Tatlılar
Frambuazlı Cheesecake,125.0,Tatlılar
Limonlu Cheesecake,125.0,Tatlılar
Mozaik,125.0,Tatlılar
Profiterol,125.0,Tatlılar
Tiramisu,125.0,Tatlılar
Latte,125.0,Tatlılar
Devils,125.0,Tatlılar
Yer Fıstıklı Pasta,125.0,Tatlılar
Kara Ormanlı Pasta,125.0,Tatlılar
Kaymak,20.0,Dondurmalar
Fıstık,20.0,Dondurmalar
Çikolata,20.0,Dondurmalar
Karamel,20.0,Dondurmalar
Çilek,20.0,Dondurmalar
Limon Sorbe,20.0,Dondurmalar
Bal Badem,20.0,Dondurmalar
Karadut,20.0,Dondurmalar
Oreo,20.0,Dondurmalar
Blue Sky,20.0,Dondurmalar
Vişne,20.0,Dondurmalar
Kavun,20.0,Dondurmalar
Meyve Şöleni,20.0,Dondurmalar
Muz,20.0,Dondurmalar
